date_week,province,total_posts,avg_word_count,joy_mean,sadness_mean,anger_mean,fear_mean,surprise_mean,neutral_mean,joy_std,sadness_std,anger_std,fear_std,surprise_std,neutral_std,dominant_emotion_key,dominant_emotion,dominant_score,positive_index,emotional_intensity,fear_joy_ratio,reliable
2019-W49,广西,9,345.1111111111111,0.08,0.04111111111111111,0.23888888888888887,0.03888888888888889,0.02888888888888889,0.5722222222222222,0.16309506430300091,0.07720823214600313,0.2315407331574967,0.04859126579037751,0.050110987927909696,0.3327077462946188,neutral,中性,0.5722222222222222,0.24324324324324323,0.4277777777777778,0.4320987654320988,False
2019-W49,新疆,2,564.5,0.125,0.15,0.30000000000000004,0.0,0.1,0.325,0.03535533905932737,0.21213203435596426,0.1414213562373095,0.0,0.0,0.38890872965260115,neutral,中性,0.325,0.27173913043478254,0.675,0.0,False
2019-W49,江苏,35,371.22857142857146,0.17428571428571427,0.058571428571428566,0.22,0.03428571428571429,0.12285714285714285,0.39,0.23836805098647854,0.10181132657267263,0.23269520584560702,0.07550947405636532,0.1431488618140412,0.2702939576265288,neutral,中性,0.39,0.5398230088495574,0.61,0.186046511627907,True
2019-W49,江西,5,409.2,0.30999999999999994,0.05,0.02,0.0,0.11000000000000001,0.51,0.39115214431215894,0.07071067811865475,0.044721359549995794,0.0,0.08944271909999159,0.4449719092257398,neutral,中性,0.51,3.874999999999999,0.49,0.0,False
2019-W49,河北,13,560.0769230769231,0.1346153846153846,0.07307692307692307,0.29230769230769227,0.02307692307692308,0.0038461538461538464,0.4730769230769231,0.25689217532573805,0.09040507133494738,0.3328201177351375,0.043852900965351466,0.01386750490563073,0.3282627153004286,neutral,中性,0.4730769230769231,0.33783783783783783,0.5269230769230768,0.15957446808510642,False
2019-W49,河南,11,350.8181818181818,0.07727272727272727,0.12727272727272726,0.22727272727272727,0.04090909090909091,0.05454545454545456,0.4727272727272727,0.12116855277595,0.14893561757289014,0.26111648393354675,0.07354652207338501,0.04719399037242695,0.3466724941235145,neutral,中性,0.4727272727272727,0.19058295964125563,0.5272727272727273,0.46875000000000006,False
2019-W49,浙江,28,356.89285714285717,0.2196428571428571,0.08214285714285714,0.19285714285714287,0.05357142857142857,0.07857142857142858,0.37321428571428567,0.2887839400333128,0.12925304331561874,0.2180359661608207,0.09993384054849733,0.10665674557036407,0.34627171488456937,neutral,中性,0.37321428571428567,0.6487341772151898,0.6267857142857143,0.2332814930015552,False
2019-W49,海南,3,278.0,0.03333333333333333,0.0,0.4666666666666666,0.0,0.19999999999999998,0.3,0.05773502691896258,0.0,0.40414518843273806,0.0,0.34641016151377546,0.0,anger,愤怒,0.4666666666666666,0.06993006993006994,0.7,0.0,False
2019-W49,湖北,22,309.45454545454544,0.1659090909090909,0.10909090909090911,0.16363636363636364,0.029545454545454545,0.06136363636363637,0.47045454545454546,0.24269634350668565,0.1666450202393182,0.20654863268087173,0.04270354872364911,0.11744483829990164,0.32720282442498616,neutral,中性,0.47045454545454546,0.5312954876273652,0.5295454545454545,0.16795865633074936,False
2019-W49,湖南,18,401.77777777777777,0.16388888888888886,0.052777777777777785,0.1527777777777778,0.03333333333333334,0.030555555555555558,0.5666666666666668,0.2627935644500068,0.07567776544670525,0.21383901464187152,0.038348249442368525,0.04892638193933006,0.3404149716760067,neutral,中性,0.5666666666666668,0.6584821428571426,0.43333333333333324,0.19169329073482433,False
2019-W49,澳门,1,100.0,0.0,0.3,0.5,0.1,0.1,0.0,,,,,,,anger,愤怒,0.5,0.0,1.0,10.0,False
