date_month,province,total_posts,joy_mean,sadness_mean,anger_mean,fear_mean,surprise_mean,neutral_mean,joy_std,fear_std,emotional_intensity,dominant_emotion_key,dominant_emotion,dominant_score,reliable
2019-12,山东,83,0.16927710843373495,0.053614457831325305,0.1469879518072289,0.033734939759036145,0.053614457831325305,0.5427710843373493,0.23977012941021353,0.10990806405725377,0.45722891566265056,neutral,中性,0.5427710843373493,True
2019-12,山西,22,0.17045454545454544,0.04772727272727273,0.06818181818181818,0.031818181818181815,0.04772727272727273,0.634090909090909,0.2617064380947854,0.1129111055163209,0.36590909090909096,neutral,中性,0.634090909090909,False
2019-12,广东,160,0.1928125,0.049375,0.108125,0.035625000000000004,0.0675,0.5465625000000001,0.2731626370092763,0.09221036586158327,0.45343749999999994,neutral,中性,0.5465625000000001,True
2019-12,广西,28,0.26142857142857145,0.047142857142857146,0.1392857142857143,0.021428571428571432,0.06642857142857142,0.4642857142857143,0.33839177695238803,0.03950755068144014,0.5357142857142858,neutral,中性,0.4642857142857143,False
2019-12,新疆,11,0.2,0.045454545454545456,0.07727272727272728,0.004545454545454546,0.08181818181818182,0.5909090909090909,0.24186773244895646,0.01507556722888818,0.40909090909090906,neutral,中性,0.5909090909090909,False
2019-12,江苏,110,0.20636363636363636,0.057272727272727274,0.11818181818181818,0.038636363636363635,0.09772727272727273,0.4818181818181818,0.2631067989550637,0.09830188732102618,0.5181818181818181,neutral,中性,0.4818181818181818,True
2019-12,江西,17,0.23235294117647057,0.06176470588235293,0.011764705882352941,0.01764705882352941,0.07941176470588236,0.5970588235294118,0.2973535230110093,0.04308848624701062,0.40294117647058836,neutral,中性,0.5970588235294118,False
2019-12,河北,31,0.18064516129032257,0.08387096774193549,0.18225806451612905,0.020967741935483872,0.02903225806451613,0.5032258064516129,0.2833364958710281,0.03824088899852944,0.49677419354838703,neutral,中性,0.5032258064516129,True
2019-12,河南,62,0.175,0.08225806451612902,0.05806451612903226,0.08629032258064517,0.061290322580645165,0.5370967741935483,0.2896790196514576,0.17348155163380136,0.4629032258064515,neutral,中性,0.5370967741935483,True
2019-12,浙江,92,0.19293478260869565,0.08478260869565217,0.125,0.04891304347826087,0.06576086956521739,0.4826086956521739,0.2846418148004949,0.12752467136213316,0.517391304347826,neutral,中性,0.4826086956521739,True
2019-12,海南,8,0.075,0.0375,0.25,0.0,0.125,0.5125,0.1752549163769328,0.0,0.48750000000000004,neutral,中性,0.5125,False
2019-12,湖北,99,0.17020202020202022,0.08585858585858586,0.08131313131313132,0.08080808080808081,0.050505050505050504,0.5313131313131313,0.25474268649444637,0.1642402220720586,0.4686868686868687,neutral,中性,0.5313131313131313,True
2019-12,湖南,46,0.18695652173913044,0.05434782608695652,0.0891304347826087,0.04565217391304348,0.059782608695652176,0.5641304347826087,0.2767740319002119,0.11682184297112026,0.4358695652173913,neutral,中性,0.5641304347826087,True
2019-12,澳门,4,0.0,0.16249999999999998,0.6125,0.025,0.07500000000000001,0.125,0.0,0.05,0.875,anger,愤怒,0.6125,False
2019-12,甘肃,21,0.051428571428571435,0.08571428571428572,0.12666666666666668,0.05714285714285714,0.07571428571428572,0.6033333333333333,0.17424941073890937,0.12243948942816028,0.3966666666666667,neutral,中性,0.6033333333333333,False
2019-12,福建,53,0.13679245283018868,0.043396226415094344,0.12735849056603774,0.026415094339622643,0.07358490566037736,0.5924528301886792,0.24576234286951706,0.062483669854999875,0.4075471698113208,neutral,中性,0.5924528301886792,True
2019-12,西藏,3,0.03333333333333333,0.0,0.25,0.0,0.05000000000000001,0.6666666666666666,0.05773502691896258,0.0,0.33333333333333337,neutral,中性,0.6666666666666666,False
2019-12,贵州,13,0.2692307692307692,0.05384615384615384,0.015384615384615385,0.04615384615384615,0.11923076923076924,0.49615384615384617,0.34972516682059407,0.13913653136029502,0.5038461538461538,neutral,中性,0.49615384615384617,False
2019-12,辽宁,44,0.11522727272727273,0.06363636363636363,0.2227272727272727,0.015227272727272728,0.03318181818181818,0.5499999999999999,0.253977554734012,0.046430174449012686,0.45000000000000007,neutral,中性,0.5499999999999999,True
2019-12,重庆,24,0.1729166666666667,0.07083333333333333,0.1875,0.008333333333333333,0.07,0.49041666666666667,0.20375772413562027,0.02407717061715384,0.5095833333333333,neutral,中性,0.49041666666666667,False
